latitud,longitud,comuna
"-34,6254697","-58,3912089",1
"-34,6253891","-58,3912152",1
"-34,6432478","-58,4094981",4
"-34,624433","-58,3912973",1
"-34,53704","-58,46627",13
"-34,6236757","-58,391347",1
"-34,623396","-58,391358",1
"-34,53882","-58,46486",13
"-34,6230722","-58,3913725",1
"-34,6425557","-58,4093229",4
"-34,622178","-58,3914222",1
"-34,6405686","-58,4089934",4
"-34,6208766","-58,3914946",1
"-34,620601","-58,391511",1
"-34,539504","-58,464646",13
"-34,6203191","-58,391522",1
"-34,6197686","-58,3915441",1
"-34,6195442","-58,3915528",1
"-34,6193132","-58,3915618",1
"-34,6378222","-58,4101205",4
"-34,5425","-58,46209",13
"-34,618715","-58,3915829",1
"-34,6379236","-58,4106983",4
"-34,6184586","-58,3915912",1
"-34,6379722","-58,4109962",4
"-34,6380611","-58,4107331",4
"-34,6177376","-58,391593",1
"-34,6381174","-58,4109088",4
"-34,6174133","-58,3915875",1
"-34,6165513","-58,3915717",1
"-34,6163127","-58,3915676",1
"-34,6385827","-58,4113287",4
"-34,638582","-58,4113904",4
"-34,6160745","-58,3915636",1
"-34,6155585","-58,3915621",1
"-34,6153189","-58,3915673",1
"-34,54469","-58,46009",13
"-34,63960662","-58,41121265",4
"-34,6150415","-58,3915751",1
"-34,6402155","-58,4103511",4
"-34,6146009","-58,3915907",1
"-34,54517","-58,45907",13
"-34,6401851","-58,4102588",4
"-34,6140353","-58,3916065",1
"-34,6131777","-58,3916394",1
"-34,6129634","-58,3916477",1
"-34,6122977","-58,391673",1
"-34,6118674","-58,3916835",1
"-34,6429123","-58,4130914",4
"-34,6430405","-58,4131482",4
"-34,610148","-58,3917929",1
"-34,6428644","-58,4130718",4
"-34,610054","-58,3917998",1
"-34,64287","-58,4130742",4
"-34,609958","-58,3917675",1
"-34,6099645","-58,3914999",1
"-34,6110911","-58,3904281",1
"-34,6426061","-58,4127792",4
"-34,54779","-58,45621",13
"-34,6312495","-58,3724949",4
"-34,6299848","-58,3710254",4
"-34,6299718","-58,3710124",4
"-34,6299064","-58,3709469",4
"-34,6266228","-58,3720815",1
"-34,6266417","-58,37241",1
"-34,6269339","-58,3750302",1
"-34,6271589","-58,3754837",1
"-34,6282338","-58,3774706",1
"-34,6283552","-58,377693",1
"-34,6280339","-58,3767393",4
"-34,6277737","-58,3762632",4
"-34,6275649","-58,3758805",4
"-34,6268362","-58,3729419",4
"-34,6268355","-58,3728442",4
"-34,6287608","-58,3722439",4
"-34,6290173","-58,372175",4
"-34,6289402","-58,3722071",4
"-34,6132717","-58,3904122",1
"-34,6133653","-58,3904126",1
"-34,6398831","-58,4050335",4
"-34,5478757","-58,4532067",13
"-34,6154081","-58,3904296",1
"-34,6397358","-58,4050644",4
"-34,6155267","-58,3904346",1
"-34,6399206","-58,4058449",4
"-34,545309","-58,4514957",13
"-34,6177176","-58,3903819",1
"-34,6179348","-58,3903777",1
"-34,5477045","-58,453382",13
"-34,6297425","-58,3734949",4
"-34,6372733","-58,4060108",4
"-34,6373214","-58,4062883",4
"-34,6373696","-58,4065658",4
"-34,6199308","-58,3902685",1
"-34,6200211","-58,3902607",1
"-34,6373119","-58,4071746",4
"-34,6217755","-58,3900413",1
"-34,6223664","-58,3899672",1
"-34,6247274","-58,3897315",1
"-34,6248853","-58,3897166",1
"-34,6266365","-58,3895465",1
"-34,6269312","-58,3907344",1
"-34,6402713","-58,3772264",4
"-34,6402587","-58,3772288",4
"-34,6439274","-58,376229",4
"-34,6442081","-58,3760808",4
"-34,5504028","-58,4645383",13
"-34,6463925","-58,3755905",4
"-34,64692","-58,37544",4
"-34,6469987","-58,3754327",4
"-34,6483134","-58,3750422",4
"-34,6477881","-58,3727522",4
"-34,6476455","-58,3727774",4
"-34,6471487","-58,3728723",4
"-34,6470203","-58,3728949",4
"-34,6460747","-58,3730622",4
"-34,5459353","-58,462278",13
"-34,5449638","-58,4603493",13
"-34,6433028","-58,3735938",4
"-34,6432662","-58,3736006",4
"-34,6429517","-58,3736587",4
"-34,642152","-58,373819",4
"-34,6389119","-58,374436",4
"-34,6382126","-58,3745625",4
"-34,6379747","-58,3746041",4
"-34,635425","-58,3750991",4
"-34,5394738","-58,4657602",13
"-34,6337556","-58,3755361",4
"-34,6333463","-58,3756348",4
"-34,5404217","-58,4676184",13
"-34,6315984","-58,376535",4
"-34,6316239","-58,3765243",4
"-34,631846","-58,376431",4
"-34,5428225","-58,472421",13
"-34,6376896","-58,3748726",4
"-34,6384906","-58,3747178",4
"-34,6386388","-58,3746919",4
"-34,6410333","-58,374268",4
"-34,6419666","-58,3740909",4
"-34,6420038","-58,3740836",4
"-34,6462168","-58,3733135",4
"-34,6464109","-58,3732773",4
"-34,6465829","-58,3732424",4
"-34,6289107","-58,3776089",4
"-34,6288225","-58,3776634",4
"-34,6089009","-58,3906312",1
"-34,608695","-58,3906501",1
"-34,6065704","-58,3907944",1
"-34,6064149","-58,3907995",1
"-34,6339519","-58,4106392",4
"-34,6062506","-58,390805",1
"-34,6307032","-58,4068037",4
"-34,630711","-58,4066545",4
"-34,630575","-58,4063081",4
"-34,6334843","-58,4056877",4
"-34,6339012","-58,4059841",4
"-34,6366557","-58,4056081",4
"-34,6373031","-58,4091455",4
"-34,6375286","-58,4091265",4
"-34,5962364","-58,3883324",2
"-34,63391","-58,4064342",4
"-34,6341088","-58,4079601",4
"-34,608016","-58,3876862",1
"-34,6085153","-58,3876494",1
"-34,6369431","-58,4051212",4
"-34,6369195","-58,4049659",4
"-34,6086308","-58,3863195",1
"-34,6084783","-58,3863239",1
"-34,6368012","-58,4042927",4
"-34,6361972","-58,4000903",4
"-34,6361625","-58,3998989",4
"-34,6361288","-58,3997134",4
"-34,636112","-58,3996209",4
"-34,6360239","-58,3991355",4
"-34,5925122","-58,3869668",1
"-34,6360694","-58,3993857",4
"-34,6357965","-58,3986096",4
"-34,6357348","-58,3982605",4
"-34,6357246","-58,398204",4
"-34,6356385","-58,3977397",4
"-34,6356154","-58,3976985",4
"-34,5953538","-58,3858101",1
"-34,6353372","-58,3957997",4
"-34,6354025","-58,3955497",4
"-34,6351495","-58,3946083",4
"-34,6350403","-58,3941081",4
"-34,6343043","-58,3913654",4
"-34,6342628","-58,3911821",4
"-34,6340225","-58,3910128",4
"-34,6337815","-58,391059",4
"-34,6083754","-58,3849147",1
"-34,607933","-58,3834589",1
"-34,6337882","-58,3904999",4
"-34,6052715","-58,3835779",1
"-34,6309748","-58,3915835",4
"-34,6307892","-58,3916197",4
"-34,6308515","-58,3908536",4
"-34,629623","-58,3907874",1
"-34,5973022","-58,3840353",1
"-34,6277807","-58,3910043",1
"-34,595941","-58,3842239",1
"-34,5957879","-58,3842389",1
"-34,6288589","-58,3919106",4
